condition,drug,indication,type,reviews,effectiveness,ease_of_use,satisfaction,effectiveness_cat,ease_of_use_cat,satisfaction_cat,performance,weighted_performance,disease_class,review_category
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,994,2.52,3.01,1.84,low,medium,Very Low,2.4566666666666666,2.4819999999999998,Infectious Disease,high
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,755,2.78,3.0,2.08,low,low,Low,2.6199999999999997,2.6839999999999997,Infectious Disease,high
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,584,3.21,4.01,2.57,medium,high,Low,3.263333333333333,3.242,Infectious Disease,high
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,437,3.26,3.23,2.42,medium,medium,Low,2.97,3.086,Infectious Disease,high
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,361,2.44,2.96,1.68,low,low,Very Low,2.36,2.392,Infectious Disease,high
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,353,3.04,3.37,2.34,medium,medium,Low,2.9166666666666665,2.9659999999999997,Infectious Disease,high
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,222,3.0,3.4,2.18,low,medium,Low,2.86,2.916,Infectious Disease,high
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,140,2.74,3.04,2.12,low,medium,Low,2.6333333333333333,2.676,Infectious Disease,high
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,72,2.11,2.79,1.32,low,low,Very Low,2.0733333333333337,2.088,Infectious Disease,high
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,Off Label,RX,43,3.29,3.47,2.59,medium,medium,Low,3.1166666666666667,3.186,Infectious Disease,high
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,40,3.29,3.71,2.86,medium,medium,Low,3.2866666666666666,3.2880000000000003,Infectious Disease,high
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,23,3.29,4.43,3.0,medium,high,Low,3.573333333333333,3.46,Infectious Disease,high
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,20,4.0,4.5,3.7,medium,high,High,4.066666666666666,4.04,Infectious Disease,high
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,19,3.8,4.0,3.4,medium,medium,Medium,3.733333333333333,3.7600000000000002,Infectious Disease,high
Acute Bacterial Sinusitis,Ampicillin,On Label,RX,15,3.0,3.25,3.0,low,medium,Low,3.0833333333333335,3.05,Infectious Disease,medium
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,13,3.33,3.33,3.0,medium,medium,Low,3.22,3.2640000000000002,Infectious Disease,medium
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,12,3.0,2.8,2.2,low,low,Low,2.6666666666666665,2.8,Infectious Disease,medium
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,11,3.25,2.75,3.0,medium,low,Low,3.0,3.1,Infectious Disease,medium
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,11,2.33,3.67,3.0,low,medium,Low,3.0,2.7319999999999998,Infectious Disease,medium
